id,authors,title,isbn,identifiers,series,series_index,uuid
"17","Robert A Heinlein","Farnham's Freehold","","mobi-asin:ee05f150-850f-4abe-ab18-c24c09cb6f9e","","1.0","8e50dbf5-e174-464c-9c6c-8b7a1c20726f"
"57","Neal Stephenson","The Diamond Age: Or, a Young Lady's Illustrated Primer","9780141886282","isbn:9780141886282,mobi-asin:4aec26ba-aed5-484d-9697-1955e40d8b8f","","1.0","37860be0-f233-447a-bb2a-8f6fc914c4b5"
"88","William Gibson","Count Zero","9780441117734","isbn:9780441117734","Sprawl Trilogy","2.0","21c4c76d-4c91-40cc-b552-48dc9c8200d4"
"162","Stephen W. Hawking","The Universe in a Nutshell","","mobi-asin:2f5c9bea-60f5-47e9-8541-61e495c98f0b","","1.0","7c30750c-f193-4f47-9162-6948f6733b3e"
"168","Jordan B. Peterson","12 Rules for Life: An Antidote to Chaos","9780241351659","mobi-asin:a5367b8f-6536-4c8f-b4c5-d4fd611dd3f5,isbn:9780241351659","","1.0","f4e96188-848c-4ab9-a7f2-21b3b092abbe"
"173","Henry David Thoreau","Walden and on the Duty of Civil Disobedience","9780808509103","isbn:9780808509103","","1.0","2c51ef8b-4bc1-4ccc-aa1f-e67f41b52e0c"
"223","Robert A. Heinlein","The Green Hills of Earth and The Menace from Earth","9781439133415","isbn:9781439133415","","1.0","abcaf22e-7b96-4955-a75c-80a40118fdf4"
"229","Robert A. Heinlein","Starship Troopers","9781442015036","isbn:9781442015036","","1.0","429a24be-d5d6-432c-8a90-79615da097e2"
"230","Robert A. Heinlein","Time Enough for Love: The Lives of Lazarus Long","9780441810765","mobi-asin:0da188b3-47dd-4b11-9d32-92266609be56,isbn:9780441810765","","1.0","8295311e-1898-4fea-b397-34db4462eaf2"
"272","Frank Herbert","Dune","9780441013593","isbn:9780441013593,mobi-asin:f9844f36-3979-49ef-a00c-512228292903","Dune Saga","10.0","398c97f0-78d2-40ed-a21a-a124c99a78d7"
"281","Frank Herbert","Dune Messiah","9780441172696","isbn:9780441172696","Dune Saga","12.0","667a4b85-de0b-4bf4-af04-8671aed7a852"
"288","Brian Herbert;Kevin J. Anderson","Dune: The Machine Crusade","0312711085","mobi-asin:5eeeca6d-ac03-4140-a692-a2a2de5ed34d,isbn:0312711085","Dune Saga","2.0","296d7bb3-d635-410d-8733-7aef8fb035ba"
"307","Brian Herbert;Kevin J. Anderson","Dune: The Butlerian Jihad","0312708084","isbn:0312708084,mobi-asin:445f7e75-0dac-4794-b8e0-50140db44d7f","Dune Saga","1.0","72ebc414-e4ad-409a-81d7-dd6a3d1772d7"
"310","Brian Herbert;Kevin J. Anderson","Dune: The Battle of Corrin","0312712332","mobi-asin:73d7f763-9623-4f55-bca7-f8c9b8feb452,isbn:0312712332","Dune Saga","3.0","34519265-5cb7-46ad-b5f5-67dfa02b0ecb"
"312","HackSpace Magazine","HackSpaceMag10","","","","1.0","3a1ed661-ecf4-491f-b38d-67cc3897d00e"
"317","General Stanley McChrystal & Tantum Collins & David Silverman & Chris Fussell","Team of Teams: New Rules of Engagement for a Complex World","","mobi-asin:3c54a315-29e5-4484-a788-75ebe4f5b9c9","","1.0","8729b5e0-abfe-483a-aa15-4c066211ea15"
"350","Neal Stephenson","In the beginning ...was the command line","9780380815937","isbn:9780380815937","","1.0","91d25639-e08b-424d-99b7-23a5139f4826"
"357","Timothy Ferriss","Tools of Titans","","mobi-asin:f140e8c2-985a-4318-929d-8c9cae013f05","","1.0","db104faa-5dfa-4da0-adc5-32427f1fa554"
"389","Jeff Vail","A Theory of Power","","mobi-asin:f2e8bca7-eb09-432b-a2f1-b2c0aa0e9e85","","1.0","5b9fe0a5-61c7-43a8-9293-a267c236aac7"
"467","William Gibson","Neuromancer","9780441007462","isbn:9780441007462","Sprawl Trilogy","1.0","7845a506-90dd-4dd5-9f8d-a34e74457c20"
"471","William Gibson","Burning Chrome","","","","1.0","336a444d-f336-4b62-a851-322faed1affa"
"482","Jocko Willink","Discipline Equals Freedom: Field Manual","9781250156952","amazon:1250156947,google:4cI1DgAAQBAJ,isbn:9781250156952","","1.0","d78c6afb-6371-4f87-adaa-a0b8e68b9153"
"483","Robert A. Heinlein","The Moon Is a Harsh Mistress","9780575082410","isbn:9780575082410","","1.0","f1894aaa-fb29-4eec-941e-79abe5dc2114"
